UT_datetime, Type, Brightness, Zenith, Conditions, Latitude, Longitude, Moon_alt, Moon_illum, Clear SkyClock, Site description, User
2023-12-10 08:00:01, SQM-L,16.61, Up,90%, 39.2369, -84.4741,  -26, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 07:00:02, SQM-L,16.73, Up,80%, 39.2369, -84.4741,  -37, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 06:00:02, SQM-L,17.1, Up,50%, 39.2369, -84.4741,  -48, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 05:00:02, SQM-L,18.28, Up,90%, 39.2369, -84.4741,  -57, 9, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 04:00:02, SQM-L,18.25, Up,90%, 39.2369, -84.4741,  -65, 9, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 03:00:02, SQM-L,16.95, Up,100%, 39.2369, -84.4741,  -68, 9, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 02:00:01, SQM-L,15.57, Up,100%, 39.2369, -84.4741,  -65, 9, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 01:49:58, SQM-L,15.38, Up,100%, 39.2369, -84.4741,  -63, 10, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 01:32:25, SQM-L,15.31, Up,100%, 39.2369, -84.4741,  -61, 10, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-20 10:46:05, SQM-L,21.5, Up,40%, 37.998, -105.699,  -35, 58, , Crestone  Colorado, Skyguy66
2023-12-19 11:59:53, SQM-L,21.6, Up,30%, 37.998, -105.699,  -55, 47, , Crestone  Colorado, Skyguy66
2023-12-18 05:19:37, SQM-L,21.38, Up,20%, 37.998, -105.699,  -3, 33, , Crestone  Colorado, Skyguy66
